# mag_pl    log_mass    log_q    log_a    d_au    sep_as    incl    ecc    flag    ii    jj
16.989        -2.962        -2.532    1.067    16.6    1.263    1.949    0.432    1    6    115
17.015        -2.969        -2.539    1.685    64.0    4.878    1.491    0.433    1    6    136
15.354        -2.430        -2.000    0.308    3.2    0.244    2.695    0.599    0    6    142
16.868        -2.932        -2.502    0.855    9.9    0.752    1.708    0.395    1    6    159
16.419        -2.812        -2.382    1.619    56.4    4.297    0.913    0.403    1    6    162
16.463        -2.824        -2.394    1.187    19.6    1.489    1.717    0.399    1    6    178
16.232        -2.757        -2.327    1.203    21.8    1.661    1.430    0.404    1    6    199
17.142        -2.999        -2.569    1.528    42.7    3.255    2.550    0.296    1    6    213
14.904        -2.132        -1.702    2.066    118.9    9.055    0.844    0.040    1    6    219
16.185        -2.742        -2.312    1.833    79.8    6.074    1.969    0.200    1    6    229
17.011        -2.968        -2.538    1.275    20.2    1.540    1.716    0.121    1    6    233
16.728        -2.896        -2.466    1.102    15.7    1.199    2.514    0.307    1    6    235
17.081        -2.985        -2.555    1.512    37.3    2.840    1.679    0.172    1    6    236
16.624        -2.869        -2.439    0.506    3.7    0.284    0.814    0.190    0    6    236
16.696        -2.888        -2.458    1.991    150.7    11.481    1.703    0.556    0    6    296
15.715        -2.583        -2.153    0.833    8.2    0.622    2.346    0.224    1    6    303
15.222        -2.362        -1.932    1.886    77.4    5.892    0.480    0.189    1    6    308
17.136        -2.998        -2.568    0.513    3.8    0.292    2.282    0.195    0    6    326
15.387        -2.445        -2.015    1.421    34.4    2.621    1.731    0.324    1    6    378
16.450        -2.821        -2.391    0.516    3.7    0.285    2.512    0.147    0    6    393
15.391        -2.447        -2.017    0.614    3.6    0.275    1.708    0.128    0    6    410
15.828        -2.624        -2.194    1.647    61.5    4.686    1.127    0.404    1    6    418
16.942        -2.951        -2.521    0.801    8.1    0.618    1.969    0.336    1    6    423
15.189        -2.344        -1.914    1.701    58.2    4.429    1.547    0.176    1    6    423
15.952        -2.667        -2.238    0.352    3.4    0.261    2.564    0.663    0    6    433
16.877        -2.934        -2.504    1.632    40.4    3.077    1.178    0.226    1    6    483
17.002        -2.966        -2.536    0.909    7.7    0.588    2.563    0.236    1    6    500
16.015        -2.688        -2.258    1.725    69.3    5.280    1.607    0.336    1    6    510
16.788        -2.912        -2.482    1.471    31.9    2.431    1.670    0.398    1    6    534
15.826        -2.624        -2.194    1.191    22.1    1.684    1.769    0.466    1    6    551
16.690        -2.886        -2.456    1.069    14.7    1.120    2.081    0.341    1    6    587
16.599        -2.862        -2.432    1.522    38.8    2.958    0.333    0.178    1    6    587
17.134        -2.998        -2.568    1.097    18.2    1.385    1.701    0.550    1    6    605
15.631        -2.550        -2.121    1.472    16.9    1.285    2.011    0.266    1    6    607
16.972        -2.958        -2.528    1.746    95.8    7.298    2.661    0.745    1    6    627
16.148        -2.731        -2.301    1.704    81.4    6.203    0.636    0.628    1    6    647
16.794        -2.913        -2.483    1.343    35.8    2.723    0.669    0.640    1    6    661
