;  Age	   M/Ms  Teff(K)   L/Ls   log(g)  R(Gcm)   D       Li     J       H       K       L        M     NIRC335
;   0.001  0.0005   628.   -5.37    2.65   12.25  1.0000  1.0000  16.339  16.846  16.966  13.396  13.836  16.110
   0.002  1.4000  4211.    0.24    3.79  173.62  0.0000  0.9980   2.536   1.858   1.745   1.677   1.805   1.692
   0.003  0.0010   734.   -5.26    3.10   10.23  1.0000  1.0000  15.921  15.962  15.980  12.915  13.506  15.12
   0.003  0.0020  1025.   -4.65    3.38   10.49  1.0000  1.0000  15.060  13.686  13.561  11.110  12.159  12.35
   0.003  0.0030  1241.   -4.29    3.52   10.93  1.0000  1.0000  14.383  12.799  12.178  10.221  11.281  10.70
   0.003  0.0040  1415.   -4.03    3.62   11.34  1.0000  1.0000  13.266  12.155  11.552   9.882  10.775  10.35
   0.003  0.0050  1580.   -3.80    3.68   11.79  1.0000  1.0000  12.693  11.684  10.947   9.512  10.083   9.889
   0.003  0.0060  1721.   -3.62    3.72   12.27  1.0000  1.0000  12.117  11.116  10.422   9.182   9.569   9.584
   0.003  0.0070  1842.   -3.46    3.76   12.77  1.0000  1.0000  11.482  10.709  10.176   9.039   9.348   9.459
   0.003  0.0080  1943.   -3.34    3.78   13.29  1.0000  1.0000  11.073  10.406   9.922   8.863   9.142   9.314
   0.003  0.0090  2028.   -3.23    3.79   13.86  1.0000  1.0000  10.768  10.156   9.703   8.703   8.950   9.154
   0.003  0.0100  2100.   -3.14    3.81   14.35  1.0000  1.0000  10.419   9.893   9.484   8.553   8.794   9.030
   0.003  0.0120  2207.   -2.99    3.83   15.43  1.0000  1.0000  10.095   9.558   9.154   8.288   8.523   8.694
   0.003  0.0150  2332.   -2.81    3.84   16.96  0.9950  1.0000   9.676   9.144   8.752   7.960   8.129   8.340
   0.003  0.0200  2465.   -2.58    3.84   19.64  0.9700  1.0000   9.131   8.595   8.218   7.502   7.583   7.840
   0.003  0.0300  2613.   -2.24    3.77   25.96  0.6750  1.0000   8.313   7.775   7.419   6.772   6.799   7.057
   0.003  0.0400  2749.   -1.98    3.72   31.79  0.3125  1.0000   7.675   7.139   6.810   6.212   6.234   6.476
   0.003  0.0500  2793.   -1.77    3.63   39.23  0.4780  1.0000   7.161   6.626   6.305   5.724   5.740   5.976
   0.003  0.0600  2835.   -1.69    3.66   41.57  0.0665  1.0000   6.975   6.436   6.126   5.564   5.581   5.818
   0.003  0.0700  2871.   -1.60    3.66   44.82  0.0130  1.0000   6.761   6.219   5.918   5.372   5.389   5.627
   0.003  0.0720  2878.   -1.59    3.67   45.30  0.0078  1.0000   6.728   6.185   5.886   5.343   5.360   5.598
   0.003  0.0750  2873.   -1.47    3.56   52.07  0.1605  1.0000   6.436   5.894   5.592   5.047   5.061   5.301
   0.003  0.0800  2905.   -1.54    3.68   46.96  0.0004  1.0000   6.612   6.066   5.774   5.243   5.261   5.498
   0.003  0.0900  2928.   -1.49    3.69   49.11  0.0000  1.0000   6.485   5.935   5.649   5.128   5.148   5.379
   0.003  0.1000  2925.   -1.31    3.56   60.17  0.0106  1.0000   6.049   5.499   5.211   4.690   4.708   4.942
   0.003  0.1100  3040.   -1.42    3.77   49.59  0.0000  1.0000   6.327   5.756   5.495   5.023   5.048   5.262
   0.003  0.1300  3073.   -1.34    3.79   53.09  0.0000  1.0000   6.142   5.564   5.309   4.852   4.875   5.092
   0.003  0.1500  3105.   -1.27    3.80   56.33  0.0000  1.0000   5.978   5.394   5.144   4.701   4.724   4.939
   0.003  0.1750  3136.   -1.19    3.80   60.60  0.0000  1.0000   5.784   5.192   4.947   4.518   4.546   4.748
   0.003  0.2000  3174.   -1.11    3.81   64.38  0.0000  1.0000   5.611   5.009   4.770   4.359   4.392   4.577
